"";"VTI";"TLT";"BIL";"GLD";"SPY";"Date";"Date_aux";"carteraevol_sinreb_Activo1";"carteraevol_sinreb_Activo2";"carteraevol_sinreb_Activo3";"carteraevol_sinreb_Activo4";"carteraevol_sinreb_Activo5";"carteraevol_sinreb";"pond_sinreb_Activo1";"pond_sinreb_Activo2";"pond_sinreb_Activo3";"pond_sinreb_Activo4";"pond_sinreb_Activo5";"month";"Cantreb_Activo1";"Cantreb_Activo2";"Cantreb_Activo3";"Cantreb_Activo4";"Cantreb_Activo5";"carteraevol_conreb_Activo1";"carteraevol_conreb_Activo2";"carteraevol_conreb_Activo3";"carteraevol_conreb_Activo4";"carteraevol_conreb_Activo5";"carteraevol_conreb"
"2007-06-29";56,096783;54,963554;83,962051;64,269997;111,906425;2007-06-29;"2007-06";25;25;25;25;0;100;0,25;0,25;0,25;0,25;0;6;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;25;25;25;25;0;100
"2007-07-31";54,114002;56,787861;84,297607;65,790001;108,402672;2007-07-31;"2007-07";24,116357082366;25,8297803122411;25,0999129952173;25,5912572238023;0;100,637307613627;0,239636350119333;0,256662076169689;0,249409623432918;0,254291950278061;0;7;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;24,116357082366;25,8297803122411;25,0999129952173;25,5912572238023;0;100,637307613627
"2007-08-31";54,91013;57,803055;84,656502;66,519997;109,793739;2007-08-31;"2007-08";24,4711581767532;26,2915381163307;25,2067752608854;25,8752139820389;0;101,844685536008;0,240279186370517;0,258153265219078;0,247502116857863;0,254065431552543;0;8;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;24,4711581767532;26,2915381163307;25,2067752608854;25,8752139820389;0;101,844685536008
"2007-09-28";57,022373;57,934952;84,817268;73,510002;114,044312;2007-09-28;"2007-09";25,412496916267;26,3515310527409;25,2546439104971;28,5942140311598;0;105,612885910665;0,240619283311345;0,249510567063104;0,239124645565119;0,270745504060432;0;9;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;25,412496916267;26,3515310527409;25,2546439104971;28,5942140311598;0;105,612885910665
"2007-10-31";58,044395;58,987095;85,151085;78,620003;115,591515;2007-10-31;"2007-10";25,8679695589674;26,8300949934933;25,3540391122651;30,5819226193522;0;108,634026284078;0,238120324209678;0,246976899515191;0,233389481910247;0,281513294364884;0;10;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;25,8679695589674;26,8300949934933;25,3540391122651;30,5819226193522;0;108,634026284078
"2007-11-30";55,419529;62,143703;85,487778;77,32;111,114334;2007-11-30;"2007-11";24,6981760968361;28,2658682333388;25,4542906532857;30,0762422627778;0;108,494577246238;0,227644336921847;0,260527935596143;0,234613482990167;0,277214244491842;0;11;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;24,6981760968361;28,2658682333388;25,4542906532857;30,0762422627778;0;108,494577246238
"2007-12-31";55,034657;61,753632;85,689308;82,459999;109,863113;2007-12-31;"2007-12";24,526654674654;28,0884456634664;25,5142969292163;32,0756195927627;0;110,205016860099;0,222554792635162;0,254874473628759;0,231516655558482;0,291054078177597;0;12;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;27,5512542150248;27,5512542150248;27,5512542150248;27,5512542150248;0;110,205016860099
"2008-01-31";51,64119;63,047817;86,026154;91,400002;103,220695;2008-01-31;"2008-01";23,0143277556576;28,6771016481212;25,6145940265323;35,5531376483493;0;112,85916107866;0,203920776441153;0,254096356680641;0,226960698464518;0,315022168413688;0;1;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;25,8524288369127;28,1286521555423;27,6595586230534;30,5382575902745;0;112,178897205783
"2008-02-29";50,352058;62,76078;86,16684;96,18;100,5532;2008-02-29;"2008-02";22,4398153099082;28,5465437697133;25,6564837845612;37,4124803522241;0;114,055323216407;0,196745006520487;0,250286816649053;0,224947710120298;0,328020466710162;0;2;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;25,2070681608441;28,0005911962109;27,7047926883173;32,1353342534128;0;113,047786298785
"2008-03-31";49,901569;64,103188;86,36795;90,410004;99,654045;2008-03-31;"2008-03";22,2390511234842;29,1571338345406;25,7163650039945;35,1680442742202;0;112,28059423624;0,198066738733971;0,259680971880089;0,229036595138488;0,313215694247452;0;3;0,282653006742518;0,462552601168233;0,742768647717256;0,396354237930141;0;24,9815459601684;28,599503727676;27,7694545798007;30,2074828279517;0;111,557987095597
